producto,unidad,precio_promedio_por_unidad,precio_promedio_por_100,energ_kcal,carbohydrt,lipid_tot,protein,fiber_td,calcium,iron,ironhem,ironnohem,zinc,vit_c,thiamin,riboflavin,niacin,panto_acid,vit_b6,folic_acid,food_folate,vit_b12,vit_a_rae,vit_e,vit_d_iu,vit_k,fa_sat,fa_mono,fa_poly,chole
TOMATE,GR,0.0315,3.1494,68.188,8.755999999999998,2.95,3.9493333333333336,1.662666666666667,36.53533333333334,1.8926666666666667,0.188,1.696,0.5646666666666668,17.40266666666667,0.09,0.08,1.6026666666666667,0.3685714285714285,0.128,2.0786666666666664,15.284666666666668,1.8833333333333333,54.52400000000001,0.6664285714285715,14.76857142857143,8.955384615384615,0.5660666666666666,0.7474000000000001,0.7338666666666668,11.1108
TOMILLO,GR,1.1125,111.2537,276,63.94,7.43,9.11,37,1890,123.6,0,123.6,6.18,50,0.51,0.4,4.94,,0.55,0,274,0,190,7.48,0,1714.5,2.73,0.47,1.19,0
TORONJA,GR,0.0385,3.8483,44.30333333333334,10.821666666666667,0.063333333,0.35333333333333333,0.276,9.871666666666666,0.16,0,0.16,0.071666667,22.62,0.026666667,0.013333333333333334,0.16,0.13,0.023333333333333334,4.233333333333333,6.596666666666667,0,14.846666666666666,0.056666667,0,0,0.005666667,0.0055,0.0105,0
TORTILLA DE HARINA DE TRIGO,GR,0.1151,11.5077,298.47,44.08,10.83,5.4,1.13,168.35,2.54,0,2.54,2.61,,0.2,0.17,2,,,88.03,,,,,,,5.11,3.4,1.7,0.09
TORTILLA DE MAÍZ,GR,0.0183,1.8305,199,39.72,2.67,5.1,3.65,103,1.91,0,1.91,1.15,0,0.16,0.07,1.3,,0.22,0,5,0,1.5,0.28,0,0,0.377,0.746,1.41,0
TOSTADAS DE MAÍZ,GR,0.1482,14.8153,455.51,66.37,17.45,8.28,9.72,76,1.53,0,1.53,1.23,,0.35,0.09,1.55,0.19,0.36,,,,,,,,8.7,5.09,4.49,0
TRUCHA,GR,0.2518,25.1833,163,0,1.67,18.3,0,12,1,0.4,0.6,0.5,0,0.05,0.05,2.8,1.94,0.2,13,13,1,17,0.2,155,0.1,0.002,0.004,1.5,17.38
TUNA,GR,0.0415,4.1525,148.6,24.714999999999996,6.960000000000001,1.0225,2.316666666666667,65.5,4.4,0,4.4,0.12,31,0.0625,0.0725,0.6000000000000001,0.02,0.049999999999999996,0,5,0,7.375,1.91,0,1.4,1.079,7.761666666666667,0.7143333333333333,0
TÉ,GR,20.4212,2042.1163,133.74142857142857,20.395714285714288,4.131428571428571,4.911428571428571,2.8771428571428572,41.238571428571426,2.518571428571429,0.08,2.438571428571429,1.6328571428571428,10.06857142857143,0.25142857142857145,0.2671428571428571,3.56,0.9457142857142856,0.3985714285714285,57.15571428571428,33.642857142857146,0.26142857142857145,51.41142857142857,0.4628571428571428,13.904285714285715,4.45,0.7818571428571427,2.1384285714285713,0.795,10.428571428571429
TÉ PREPARADO,ML,0.0324,3.239,0.01,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0
UVA,GR,0.0837,8.3734,104.94800000000001,19.744,2.895,0.43899999999999995,0.9630000000000001,11.835,0.29999999999999993,0,0.345,0.086666667,18.15222222222222,0.03125,0.19222222222222224,0.18375,0.051250000000000004,0.06,2.9362500000000002,4.907777777777778,0,4.83,0.20428571428571426,0,6.369999999999999,1.0518999999999998,1.1926666666666668,0.8498888888888889,0
VAINILLA,ML,0.106,10.5968,192.34875,26.552500000000002,4.7325,3.6262499999999998,0.4128571428571428,112.33142857142856,3.5357142857142856,0,4.604,1.69,16.787499999999998,0.1457142857142857,0.18000000000000002,2.684285714285714,0.254,0.17285714285714285,16.60625,4.656666666666666,0.312,80.97857142857143,0.09,66.63166666666666,0.196,2.605,1.9086666666666667,0.7363333333333332,21.376666666666665
VERDOLAGA,GR,0.04,3.9989,77.735,12.02,2.71,2.26,1.04,62.635000000000005,1.745,0,1.76,0.29,14.19,0.07,0.085,0.515,0.07,0.055,0,8.375,0,6.83,0.82,0,3.77,0.409,1.527,2.142,0
VINAGRE,ML,0.0186,1.8649,34.11,4.026666666666666,1.0566666666666666,1.0166666666666666,1.4333333333333333,13.666666666666666,0.41333333333333333,0,0.41333333333333333,0.3233333333333333,1.7333333333333334,0.036666666666666674,0.13,0.8233333333333333,0.3066666666666667,0.063333333,0,9,0,0,0.01,2.6666666666666665,0.16666666666666666,0.31,0.012333333333333333,0.061,0
WHISKY,ML,0.4473,44.7252,250,0.1,0,0,0,0,0.02,0,0.02,0.02,0,0.01,0,0.05,0,0,0,0,0,0,,,,0,0,0,0
YOGHURT,GR,0.0798,7.9807,82.8,11.86,2.63,3.44,0,127.74,0.05,0,0.05,0.59,0.5,0.03,0.14,0.08,0.39,0.03,7,7,0.37,27,0.06,4,0.2,1.65,0.893,0.092,13
ZANAHORIA,GR,0.0167,1.6748,60.92230769230769,8.503076923076923,2.5015384615384617,1.6892307692307693,1.7850000000000001,27.08846153846154,0.5238461538461539,0.009090909,0.5081818181818182,0.2907692307692308,10.081538461538461,0.055384615,0.055384615,0.746923077,0.2958333333333334,0.13461538461538464,1.3761538461538463,16.43166666666667,0.035833333333333335,518.69,0.7916666666666666,0.9899999999999999,16.203333333333337,0.6223333333333333,0.8255833333333333,1.0795000000000001,9.614833333333335
